NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Henry Akin, NYK, PF,22,50, , 9.1,1.7,4.6, .361, ,,, 1.7, 4.6,.361,.361, 0.5,0.7,.703, ,,2.4,0.5, , ,,1.6, 3.8
Al Attles*, SFW, PG,30,69, , 25.6,3.1,6.8, .454, ,,, 3.1, 6.8,.454,.454, 1.3,2.2,.583, ,,4.7,3.9, , ,,3.8, 7.4
Johnny Austin, BAL, SG,22,4, , 15.3,1.3,5.5, .227, ,,, 1.3, 5.5,.227,.227, 3.3,4.0,.813, ,,1.8,1.0, , ,,3.0, 5.8
Jim Barnes, LAL, PF,25,80, , 17.5,2.7,6.2, .437, ,,, 2.7, 6.2,.437,.437, 1.6,2.3,.684, ,,5.6,0.6, , ,,3.3, 7.0
Dick Barnett, NYK, SG,30,67, , 29.4,6.8,14.2, .478, ,,, 6.8, 14.2,.478,.478, 3.4,4.4,.783, ,,3.4,2.4, , ,,2.8, 17.0
Jim Barnett, BOS, SG,22,48, , 8.0,1.6,4.4, .370, ,,, 1.6, 4.4,.370,.370, 0.9,1.3,.677, ,,1.1,0.9, , ,,1.3, 4.1
John Barnhill, BAL, PG,28,53, , 22.9,3.5,8.4, .418, ,,, 3.5, 8.4,.418,.418, 1.2,1.9,.641, ,,3.0,2.6, , ,,1.5, 8.3
Rick Barry*, SFW, SF,22,78, , 40.7,13.0,28.7, .451, ,,, 13.0, 28.7,.451,.451, 9.7,10.9,.884, ,,9.2,3.6, , ,,3.3, 35.6
Elgin Baylor*, LAL, SF,32,70, , 38.7,10.2,23.7, .429, ,,, 10.2, 23.7,.429,.429, 6.3,7.7,.813, ,,12.8,3.1, , ,,3.0, 26.6
Zelmo Beaty*, STL, C,27,48, , 34.6,6.8,14.5, .473, ,,, 6.8, 14.5,.473,.473, 4.1,5.4,.758, ,,10.7,1.3, , ,,3.9, 17.8
Walt Bellamy*, NYK, C,27,79, , 38.1,7.2,13.7, .521, ,,, 7.2, 13.7,.521,.521, 4.7,7.3,.636, ,,13.5,2.6, , ,,3.5, 19.0
Dave Bing*, DET, PG,23,80, , 34.5,8.3,19.0, .436, ,,, 8.3, 19.0,.436,.436, 3.4,4.6,.738, ,,4.5,4.1, , ,,2.7, 20.0
John Block, LAL, PF,22,22, , 5.4,0.9,2.4, .385, ,,, 0.9, 2.4,.385,.385, 1.1,1.5,.706, ,,2.0,0.2, , ,,0.9, 2.9
Bob Boozer, CHI, PF,29,80, , 30.6,6.7,13.8, .487, ,,, 6.7, 13.8,.487,.487, 4.5,5.8,.781, ,,8.5,1.1, , ,,2.7, 18.0
Nate Bowman, CHI, C,23,9, , 7.2,0.9,2.3, .381, ,,, 0.9, 2.3,.381,.381, 0.7,0.9,.750, ,,3.1,0.2, , ,,2.0, 2.4
Bill Bridges, STL, PF,27,79, , 39.6,6.4,14.0, .455, ,,, 6.4, 14.0,.455,.455, 4.6,6.6,.702, ,,15.1,2.8, , ,,4.1, 17.4
Em Bryant, NYK, PG,28,63, , 25.3,3.7,9.2, .409, ,,, 3.7, 9.2,.409,.409, 1.2,1.8,.649, ,,4.3,3.5, , ,,3.7, 8.7
Joe Caldwell, STL, SF,25,81, , 27.9,5.7,13.3, .426, ,,, 5.7, 13.3,.426,.426, 2.5,3.8,.649, ,,5.5,2.0, , ,,2.8, 13.8
Wilt Chamberlain*, PHI, C,30,81, , 45.5,9.7,14.2, .683, ,,, 9.7, 14.2,.683,.683, 4.8,10.8,.441, ,,24.2,7.8, , ,,1.8, 24.1
Jerry Chambers, LAL, SF,23,69, , 14.7,3.2,7.2, .452, ,,, 3.2, 7.2,.452,.452, 1.0,1.3,.731, ,,3.0,0.6, , ,,2.1, 7.5
Len Chappell, TOT, C-PF,26,73, , 9.7,1.8,4.3, .422, ,,, 1.8, 4.3,.422,.422, 0.7,1.1,.654, ,,2.6,0.5, , ,,1.4, 4.3
Len Chappell, CHI, PF,26,19, , 9.4,2.1,4.7, .449, ,,, 2.1, 4.7,.449,.449, 0.7,1.1,.667, ,,2.0,0.6, , ,,1.6, 4.9
Len Chappell, CIN, C,26,54, , 9.8,1.7,4.1, .411, ,,, 1.7, 4.1,.411,.411, 0.7,1.1,.650, ,,2.8,0.4, , ,,1.4, 4.1
Archie Clark, LAL, SG,25,76, , 23.2,4.4,9.6, .452, ,,, 4.4, 9.6,.452,.452, 1.8,2.5,.708, ,,2.9,2.7, , ,,2.5, 10.5
Barry Clemens, CHI, SF,23,60, , 16.4,3.1,7.4, .419, ,,, 3.1, 7.4,.419,.419, 1.1,1.5,.756, ,,3.4,0.7, , ,,2.4, 7.3
Larry Costello, PHI, PG,35,49, , 19.9,2.7,6.0, .444, ,,, 2.7, 6.0,.444,.444, 2.4,2.7,.902, ,,2.1,2.9, , ,,2.9, 7.8
Mel Counts, TOT, C,25,56, , 15.4,3.2,7.5, .422, ,,, 3.2, 7.5,.422,.422, 1.2,1.7,.734, ,,6.1,0.9, , ,,3.3, 7.6
Mel Counts, BAL, C,25,25, , 13.7,2.6,6.7, .389, ,,, 2.6, 6.7,.389,.389, 1.2,1.6,.725, ,,6.2,1.2, , ,,3.2, 6.4
Mel Counts, LAL, C,25,31, , 16.7,3.6,8.1, .444, ,,, 3.6, 8.1,.444,.444, 1.3,1.7,.741, ,,6.1,0.7, , ,,3.3, 8.5
Freddie Crawford, NYK, SG,25,19, , 10.1,2.3,6.1, .379, ,,, 2.3, 6.1,.379,.379, 1.3,2.0,.632, ,,2.5,0.6, , ,,2.1, 5.9
Billy Cunningham*, PHI, SF,23,81, , 26.8,6.9,15.0, .459, ,,, 6.9, 15.0,.459,.459, 4.7,6.9,.686, ,,7.3,2.5, , ,,3.2, 18.5
Dave DeBusschere*, DET, SF,26,78, , 37.1,6.8,16.4, .415, ,,, 6.8, 16.4,.415,.415, 4.6,6.6,.705, ,,11.8,2.8, , ,,3.8, 18.2
Dave Deutsch, NYK, G,21,19, , 4.9,0.3,1.9, .167, ,,, 0.3, 1.9,.167,.167, 0.5,1.1,.450, ,,1.1,0.8, , ,,0.9, 1.1
Connie Dierking, CIN, C,30,77, , 24.7,3.8,9.5, .399, ,,, 3.8, 9.5,.399,.399, 1.7,2.3,.744, ,,7.8,2.1, , ,,3.3, 9.3
Johnny Egan, BAL, PG,28,71, , 24.5,3.8,8.8, .428, ,,, 3.8, 8.8,.428,.428, 2.6,3.1,.845, ,,2.5,3.9, , ,,2.7, 10.1
Joe Ellis, SFW, SF,22,41, , 8.1,1.6,4.0, .409, ,,, 1.6, 4.0,.409,.409, 0.5,0.6,.760, ,,2.7,0.7, , ,,1.1, 3.7
Leroy Ellis, BAL, C,26,81, , 36.3,6.1,14.4, .425, ,,, 6.1, 14.4,.425,.425, 2.6,3.5,.738, ,,12.0,2.1, , ,,3.2, 14.9
Wayne Embry*, BOS, C,29,72, , 10.1,2.0,5.0, .409, ,,, 2.0, 5.0,.409,.409, 1.1,2.0,.569, ,,4.1,0.6, , ,,1.9, 5.2
Keith Erickson, CHI, SF,22,76, , 19.1,3.1,8.4, .367, ,,, 3.1, 8.4,.367,.367, 1.5,2.1,.736, ,,4.5,1.6, , ,,2.6, 7.7
Bob Ferry, BAL, C,29,51, , 19.4,2.6,6.2, .419, ,,, 2.6, 6.2,.419,.419, 1.4,2.2,.636, ,,5.1,1.8, , ,,1.9, 6.5
Hank Finkel, LAL, C,24,27, , 5.2,0.6,1.7, .362, ,,, 0.6, 1.7,.362,.362, 0.3,0.4,.583, ,,2.4,0.2, , ,,1.4, 1.5
Dave Gambee, PHI, SF,29,63, , 12.0,2.4,5.5, .435, ,,, 2.4, 5.5,.435,.435, 1.7,2.0,.856, ,,3.1,0.7, , ,,2.3, 6.5
Gail Goodrich*, LAL, SG,23,77, , 23.1,4.6,10.1, .454, ,,, 4.6, 10.1,.454,.454, 3.3,4.4,.751, ,,3.3,2.7, , ,,2.5, 12.4
Johnny Green, BAL, PF,33,61, , 15.5,3.3,7.2, .465, ,,, 3.3, 7.2,.465,.465, 1.6,3.4,.464, ,,6.5,0.9, , ,,2.3, 8.2
Hal Greer*, PHI, SG,30,80, , 38.6,8.7,19.1, .459, ,,, 8.7, 19.1,.459,.459, 4.6,5.8,.788, ,,5.3,3.8, , ,,3.8, 22.1
Richie Guerin*, STL, SG,34,80, , 28.4,4.9,11.3, .436, ,,, 4.9, 11.3,.436,.436, 3.8,5.2,.731, ,,2.4,4.3, , ,,3.1, 13.7
